wavelength (nm), transmission
1170, 0.9949801616747587
1171, 0.9943844982855462
1172, 0.9938528057886871
1173, 0.9928914148285293
1173.9999999999998, 0.9923748657994813
1175, 0.9916288139148689
1176, 0.9904206583921267
1177, 0.9892642233147254
1178, 0.9880958442356345
1179, 0.98692711613359
1180, 0.9857588713643859
1181, 0.9845885162220029
1181.9999999999998, 0.9834164697272455
1183, 0.982339172022739
1184, 0.9802787599693992
1185, 0.9791228993039491
1186, 0.9779260648333874
1187, 0.9767383446811058
1188, 0.9758870049254189
1189, 0.9748167945601727
1190, 0.9738942300177273
1191, 0.9729080551404461
1192, 0.9719404596784309
1193, 0.970624701590121
1194, 0.9693196835546067
1195, 0.967774068322333
1196, 0.9665820658325045
1196.9999999999998, 0.9643608519614162
1198, 0.9630905461499828
1199, 0.9619208044975069
1200, 0.9607547412459019
1201, 0.9595925622532049
1202, 0.9583715230974299
1203, 0.9576726822029282
1204, 0.9567251129776349
1204.9999999999998, 0.9557278206741815
1206, 0.955023553943738
1207, 0.9537763592534689
1208, 0.9531877419625083
1209, 0.9522715113262882
1210, 0.9516014491488288
1211, 0.9506952350452241
1212, 0.9504101061476831
1212.9999999999998, 0.9495772052357423
1214, 0.9488572004243145
1215, 0.948593088200929
1216, 0.9478906598506662
1217, 0.9479071733292808
1218, 0.9475002623665211
1219, 0.9475469028503998
1220, 0.9470987013260044
1221, 0.9471335516718491
1222, 0.9470272345366861
1223, 0.9467464173966347
1224, 0.9462898044747663
1225, 0.9463314841075852
1226, 0.9463210292248305
1227, 0.9463212748222498
1227.9999999999998, 0.9463196055153105
1229, 0.946302345876761
1230, 0.9465864347587043
1231, 0.9471511921907778
1232, 0.9473291860755881
1233, 0.9479575492734025
1234, 0.9480799977451171
1235, 0.948758665296239
1235.9999999999998, 0.9489891560117987
1237, 0.9496119809382735
1238, 0.9500926146163777
1239, 0.9503435132078459
1240, 0.9512334250497442
1241, 0.9513503712191023
1242, 0.9519959124134947
1243, 0.9525762354475905
1244, 0.9531687072144016
1245, 0.9537840580583419
1246, 0.9550183001147934
1247, 0.9557285485225743
1248, 0.9565075420969569
1249, 0.957293232251293
1250, 0.958352878070274
1250.9999999999998, 0.9588470003874068
1252, 0.9599528005457783
1253, 0.9611099733998152
1254, 0.9622816282371448
1255, 0.9636367913791597
1256, 0.9650322311053386
1257, 0.9660872875523323
1258, 0.9669226004366029
1258.9999999999998, 0.9680634823778247
1259.9999999999998, 0.9688986606452146
1260.9999999999998, 0.9696397798425893
1261.9999999999998, 0.9706338362574283
1263, 0.9715814870779352
1264, 0.9721765200988544
1265, 0.9730369980279716
1266, 0.9747010443643676
1266.9999999999998, 0.975829984489649
1267.9999999999998, 0.9770070417928971
1268.9999999999998, 0.9781653707075371
1270, 0.9793665733332595
1271, 0.9800548250891066
1272, 0.9813071682956358
1273, 0.9819406311831449
1273.9999999999998, 0.9827576595313298
1274.9999999999998, 0.9839517086202001
1275.9999999999998, 0.9844910639767341
1276.9999999999998, 0.9854692586121311
1278, 0.9865570305459022
1279, 0.9870408867179128
1280, 0.9880423699923122
1281, 0.9885433804398922
1281.9999999999998, 0.9888534655799677
1282.9999999999998, 0.9896725733987111
1283.9999999999998, 0.9903864125745085
1284.9999999999998, 0.9909571236857588
1286, 0.9919773917362771
1287, 0.9922234538999835
1288, 0.9928979308371345
1289, 0.9937560594670977
1289.9999999999998, 0.9941225962259093
1290.9999999999998, 0.9945321579651181
1291.9999999999998, 0.9954767741510836
1292.9999999999998, 0.9953211580489896
1294, 0.9958000618727378
1295, 0.9960358304971381
1296, 0.9961856990733124
1297, 0.9963425657332856
1297.9999999999998, 0.9970042737669541
1298.9999999999998, 0.9964203017099194
1299.9999999999998, 0.9961774742293206
1301, 0.9961853047793778
1302, 0.9962395132482678
1303, 0.9957740590978323
1304, 0.9955987351537476
1304.9999999999998, 0.9953635448494589
1305.9999999999998, 0.9952706319396367
1306.9999999999998, 0.9946176672146574
1307.9999999999998, 0.9945768404082639
1309, 0.9943296155554782
1310, 0.9937260216559194
1311, 0.993834934111336
1312, 0.9929579283097683
1312.9999999999998, 0.9926630157649123
1313.9999999999998, 0.9921399341315031
1314.9999999999998, 0.9912226884356488
1315.9999999999998, 0.9910710587280722
1317, 0.9904453244838232
1318, 0.9898008517861089
1319, 0.989683669725269
1320, 0.9888107995119917
1320.9999999999998, 0.9881544018782197
1321.9999999999998, 0.9878855817825807
1322.9999999999998, 0.9871937753927441
1323.9999999999998, 0.9863032308250048
1325, 0.985567867124002
1326, 0.9848178441522046
1327, 0.9837473208083579
1327.9999999999998, 0.9832279227828131
1328.9999999999998, 0.9820949248979493
1329.9999999999998, 0.9811801522457761
1330.9999999999998, 0.9806104290875279
1332, 0.9793897313154123
1333, 0.9786348671312836
1334, 0.9779503957365314
1335, 0.9766981324939572
1335.9999999999998, 0.9759987597007969
1336.9999999999998, 0.9750769302695685
1337.9999999999998, 0.9740406340656385
1338.9999999999998, 0.9731079747135254
1340, 0.9721135116298005
1341, 0.9713768883432399
1342, 0.9705415864063572
1343, 0.9695092995987825
1343.9999999999998, 0.9686624912216244
1344.9999999999998, 0.9679303885547966
1345.9999999999998, 0.9669557199813597
1346.9999999999998, 0.9659843099898808
1348, 0.9654387405267477
1349, 0.9644059388037689
1350, 0.9641557459742293
1350.9999999999998, 0.9635030487881567
1351.9999999999998, 0.9626069448476972
1352.9999999999998, 0.9621071740329858
1353.9999999999998, 0.9610736176434305
1354.9999999999998, 0.9605182791084791
1356, 0.9595467402594
1357, 0.9589222229127654
1358, 0.9580703452770678
1358.9999999999998, 0.9568930190936433
1359.9999999999998, 0.9563919841824879
1360.9999999999998, 0.9553312532507359
1361.9999999999998, 0.955020614240256
1363, 0.9545357254434212
1364, 0.9536381435223646
1365, 0.9531179600713418
1366, 0.9528524117535011
1366.9999999999998, 0.9521809939740284
1367.9999999999998, 0.9520491076399138
1368.9999999999998, 0.9514324182578306
1369.9999999999998, 0.9512398545823548
1371, 0.9506914472946102
1372, 0.9503797095457978
1373, 0.9503851438702051
1374, 0.9497327991108567
1374.9999999999998, 0.9495959877053832
1375.9999999999998, 0.9489859101168645
1376.9999999999998, 0.9487561752484697
1377.9999999999998, 0.9487056246937695
1379, 0.948047834979415
1380, 0.9479606326590106
