Pixel,Wavelength
50.21097110122,1.5859999999999999
50.375815739466674,1.587
50.540583780019446,1.5879999999999999
50.70527559379611,1.589
50.869891550568326,1.5899999999999999
51.03443201896778,1.591
51.19889736648889,1.5919999999999999
51.36328795947,1.593
51.527604163135,1.5939999999999999
51.69184634157889,1.595
51.85601485775778,1.5959999999999999
52.020110073525004,1.597
52.18413234961056,1.5979999999999999
52.34808204564,1.599
52.51195952012889,1.5999999999999999
52.67576513048611,1.601
52.83949923303723,1.6019999999999999
53.00316218299056,1.603
53.16675433449333,1.6039999999999999
53.330276040584444,1.605
53.49372765322889,1.6059999999999999
53.65710952333611,1.607
53.82042200071389,1.6079999999999999
53.983665434112226,1.609
54.146840171213334,1.6099999999999999
54.30994655865333,1.611
54.47298494200389,1.6119999999999999
54.635955665775555,1.613
54.798859073445,1.6139999999999999
54.961695507438336,1.615
55.124465309146665,1.6159999999999999
55.28716881892112,1.617
55.44980637608222,1.6179999999999999
55.61237831891889,1.619
55.77488498471055,1.6199999999999999
55.93732670969778,1.621
56.09970382911389,1.6219999999999999
56.26201667718056,1.623
56.42426558711833,1.6239999999999999
56.58645089112667,1.625
56.748572920421665,1.626
56.91063200521333,1.627
57.07262847471778,1.628
57.23456265716888,1.629
57.3964348798061,1.63
57.558245468892224,1.631
57.71999474972112,1.632
57.88168304659889,1.633
58.04331068287,1.634
58.20487798090333,1.635
58.366385262117774,1.636
58.52783284695777,1.637
58.68922105492389,1.638
58.85055020456389,1.639
59.01182061347278,1.64
59.173032598294995,1.641
59.33418647475056,1.642
59.495282557607226,1.643
59.65632116071168,1.644
59.81730259695611,1.645
59.978227178337775,1.646
60.13909521590501,1.647
60.29990701979833,1.648
60.460662899234435,1.649
60.62136316253056,1.65
60.782008117078334,1.651
60.94259806936667,1.652
61.103133324994445,1.653
61.26361418864389,1.654
61.42404096411389,1.655
61.584413954298334,1.656
61.74473346121332,1.657
61.90499978598167,1.658
62.06521322885833,1.659
62.22537408919223,1.66
62.38548266547389,1.661
62.545539255326666,1.662
62.70554415549,1.663
62.86549766184055,1.664
63.02540006939945,1.665
63.18525167231943,1.666
63.34505276390111,1.667
63.50480363659723,1.668
63.66450458199612,1.669
63.82415589085166,1.67
63.98375785306944,1.671
64.14331075771,1.672
64.30281489300444,1.673
64.46227054634333,1.674
64.62167800428944,1.675
64.78103755257334,1.676
64.94034947611111,1.677
65.09961405898,1.678
65.25883158444555,1.679
65.41800233497,1.68
65.5771265921739,1.681
65.73620463689889,1.682
65.89523674916,1.683
66.05422320817667,1.684
66.21316429236389,1.685
66.37206027934111,1.686
66.53091144591944,1.687
66.68971806814055,1.688
66.84848042124057,1.689
67.00719877967278,1.69
67.16587341712057,1.691
67.32450460645221,1.692
67.4830926198,1.693
67.641637728495,1.694
67.80014020309721,1.695
67.95860031341056,1.696
68.11701832846444,1.697
68.27539451652444,1.698
68.43372914509722,1.699
68.59202248092777,1.7
